Document1 w1606 w1849 w1008 w1125 w897 w901 w1995 w1123 w515 w1032 w910 w784 w1225 w1930 w401 w1049 w836 w403 w1043 w1691 w888 w1259 w444 w335 w414 w631 w191 w676 w1665 w982 w590 w798 w291 w338 w389 w1958 w1611 w538 w994 w1678 w725 w1555 w45 w902 w657 w303 w909 w832 w884 w1047
Document2 w870 w792 w1402 w1853 w1701 w1404 w1908 w115 w1386 w124 w1526 w505 w960 w1964 w1983 w70 w1522 w954 w925 w293 w1378 w649 w1698 w567 w1960 w1512 w1264 w955 w391 w258 w879 w1098 w1575 w1622 w1665 w294 w1133 w1508 w1553 w1358 w752 w1559 w735 w552 w1496 w1890 w888 w1607 w1529 w326
Document3 w462 w227 w11 w763 w1614 w547 w972 w326 w1340 w835 w1713 w545 w190 w1531 w1676 w1219 w1137 w392 w1049 w611 w1628 w1451 w246 w1268 w1290 w343 w309 w1236 w1481 w489 w1940 w591 w1050 w282 w38 w1394 w1207 w1267 w634 w65 w1392 w217 w548 w1862 w1201 w1984 w814 w1677 w1657 w446
Document4 w1016 w1247 w317 w447 w1076 w1010 w458 w808 w1157 w150 w1771 w194 w1630 w1759 w1088 w223 w878 w702 w659 w372 w511 w1980 w846 w1274 w143 w1358 w919 w1414 w1258 w798 w768 w1981 w800 w1100 w1243 w1230 w1384 w1096 w609 w647 w649 w77 w1573 w1204 w941 w51 w466 w31 w8 w1059
Document5 w1590 w1330 w459 w807 w1725 w473 w228 w1017 w1345 w1096 w1653 w83 w831 w600 w1726 w176 w963 w303 w790 w1340 w430 w649 w1310 w447 w1169 w1040 w1585 w1032 w797 w1530 w711 w1951 w216 w705 w1350 w109 w166 w801 w882 w1886 w1325 w1886 w1259 w1928 w951 w1427 w293 w1363 w1599 w926
Document6 w1261 w255 w1632 w195 w1022 w1462 w1841 w1298 w1314 w605 w1263 w1864 w1306 w1843 w1158 w820 w1587 w1350 w50 w685 w974 w725 w1010 w1933 w364 w604 w927 w1870 w19 w805 w1779 w1513 w1520 w279 w696 w1303 w1566 w878 w947 w89 w1073 w1841 w1233 w366 w1952 w184 w444 w1514 w900 w1812
Document7 w408 w807 w1347 w229 w25 w1067 w1054 w1133 w7 w1644 w138 w1781 w835 w1794 w649 w1393 w1149 w1754 w934 w716 w349 w1697 w1483 w651 w328 w115 w1562 w1822 w1108 w1730 w771 w1648 w1262 w36 w1050 w58 w232 w1320 w648 w389 w1391 w163 w1312 w277 w1375 w1866 w894 w211 w1330 w446
Document8 w1842 w891 w628 w565 w905 w176 w1491 w133 w1435 w928 w1240 w1397 w685 w1051 w1222 w408 w685 w504 w1338 w5 w331 w1635 w1010 w123 w790 w1967 w336 w1755 w86 w1286 w1751 w1056 w453 w1700 w579 w1860 w897 w515 w686 w327 w237 w1537 w686 w1832 w1863 w580 w604 w1838 w1523 w131
Document9 w853 w1503 w1075 w188 w175 w1902 w691 w69 w1053 w294 w878 w762 w550 w1719 w579 w609 w1022 w1435 w1281 w923 w685 w1288 w1106 w553 w110 w917 w930 w72 w109 w969 w1995 w1442 w797 w1634 w456 w1422 w731 w978 w1645 w153 w1967 w1172 w148 w1505 w1123 w1922 w1852 w421 w1874 w1041
Document10 w175 w829 w345 w129 w1733 w790 w186 w1715 w464 w763 w79 w668 w896 w1999 w207 w114 w1109 w428 w1067 w787 w1098 w178 w795 w1374 w1921 w1913 w940 w1472 w594 w762 w623 w356 w948 w1136 w1072 w836 w1220 w1191 w1545 w832 w927 w330 w1540 w830 w287 w1657 w1205 w1393 w298 w1573
Document11 w1490 w1716 w845 w1064 w1126 w1586 w1902 w192 w856 w1083 w1161 w1221 w1238 w1400 w1703 w182 w488 w1246 w542 w1587 w477 w1055 w1817 w522 w1337 w1048 w1334 w1627 w1499 w677 w427 w865 w1814 w934 w744 w1984 w348 w272 w73 w450 w153 w32 w1471 w1888 w787 w1993 w1969 w1975 w377 w1026
